Pic ID,Date,Bank Name,Zipcode,State,Amount
2912,26-12-2021,,,,49.99
2913,26-12-2021,suntrust,31415,GA,28.65
2913,26-12-2021,suntrust,,,19.88
2914,26-12-2021,suntrust,31404,GA,
2915,26-12-2021,bank of america,31404-3077,GA,42
2915,26-12-2021,bank of america,,,26
2915,26-12-2021,bank of america,,,23.87
2915,26-12-2021,bank of america,,,20
2915,26-12-2021,bank of america,,,152.44
2916,26-12-2021,wells fargo,31404,GA,49
2916,26-12-2021,wells fargo,,,38
2916,26-12-2021,wells fargo,,,305
2917,26-12-2021,wells fargo,31404,GA,
2918,26-12-2021,atlantic union bank,31410,GA,100
2919,26-12-2021,wells fargo,,,35
2921,13-12-2021,wells fargo,33458,FL,665
2921,26-12-2021,fidelity bank,,,238
2921,26-12-2021,fidelity bank,,,120.12
2922,13-12-2021,,62704-1871,IL,865.01
2922,13-12-2021,,62248,IL,419.54
2922,13-12-2021,,62248-0176,IL,
2964,27-12-2021,hancock whitney,70118,LA,
2965,27-12-2021,suntrust,38672,MS,
2965,27-12-2021,suntrust,38672-6335,MS,
2966,27-12-2021,hancock whitney,70003,LA,
2974,27-12-2021,,13209,NY,
2975,27-12-2021,,33173,FL,968
2975,27-12-2021,,70062,LA,72.28
2975,27-12-2021,,83854,ID,524.74
2975,27-12-2021,,60173-4809,IL,496
2975,27-12-2021,,33172,FL,"2,744.71"
2975,27-12-2021,,33172-1209,FL,"1,739.75"
